Name,Description,Director,Year,Runtime,Age Restriction,Ratings
John Wick: Chapter 4,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,2023,2h 49m,R,"7.7
 (303K)"
The Equalizer 3,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",Antoine Fuqua,2023,1h 49m,R,"6.9
 (73K)"
The Iron Claw,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",Sean Durkin,2023,0h 0m,"2023
2h 10m",
Australia,"In 1939, an Englishwoman inherits a sprawling ranch in northern Australia and reluctantly makes a pact with a stockman to drive 2000 head of cattle over unforgiving landscape.",Baz Luhrmann,2008,2h 45m,PG-13,"6.6
 (128K)"
The Shawshank Redemption,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Frank Darabont,1994,2h 22m,R,"9.3
 (2.8M)"
Priscilla,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend.",Sofia Coppola,2023,1h 53m,R,"7.0
 (5.9K)"
Feast of the Seven Fishes,"A slice of life story that follows a large Italian family on Christmas Eve as they prepare for the traditional Feast of the Seven Fishes, reminisce about the past, and seek love in the future.",Robert Tinnell,2019,0h 0m,"2019
1h 39m","6.8
 (2.2K)"
Pain Hustlers,"Liza dreams of a better life for herself and her daughter. Hired to work for a bankrupt pharmaceutical company, Liza skyrockets with sales and into the high life, putting her in the middle of a federal criminal conspiracy.",David Yates,2023,2h 3m,R,"6.5
 (30K)"
White Christmas,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.,Michael Curtiz,1954,2h 0m,Not Rated,"7.6
 (48K)"
Eileen,A woman's friendship with a new co-worker at the prison facility where she works takes a sinister turn.,William Oldroyd,2023,1h 37m,R,"6.7
 (857)"
Please Don't Destroy: The Treasure of Foggy Mountain,"It follows three friends who live together. When they realize that they don't like their life trajectory, they set off to find a gold treasure that is rumored to be buried in the nearby mountain.",Paul Briganti,2023,1h 32m,R,"6.1
 (3.6K)"
The Santa Clause,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",John Pasquin,1994,1h 37m,PG,"6.5
 (128K)"
The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,2022,2h 56m,PG-13,"7.8
 (747K)"
The Hunger Games: Mockingjay - Part 2,Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,Francis Lawrence,2015,2h 17m,PG-13,"6.5
 (359K)"
Everything Everywhere All at Once,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,Daniel Kwan,2022,2h 19m,R,"7.8
 (491K)"
