Monday,"FSC
TimeTable for Fall-2023",Unnamed: 2,Unnamed: 3,BS CS (2023),Unnamed: 5,Unnamed: 6,BS DS (2023),Unnamed: 8,Unnamed: 9,BS AI (2023),Unnamed: 11,Unnamed: 12,BS CY (2023),Unnamed: 14,Unnamed: 15,BS SE (2023),Unnamed: 17,Unnamed: 18,"BS Electives (19 Batch, CS/AI/SE)",Unnamed: 20,Unnamed: 21,MS (CS),Sheet Name,Tuesday,"BS Electives (19 Batch, CS/AI/DS/CY)",Wednesday,Thursday
,COAL (CS-D),,,LA (CS-D),,,Data St (CS-D),,,Data St (CS-C),,,Info Sec (CS-B),,,Info Sec (CS-A),,,,,,,Wednesday,,,C-403,
,AP (CY-B),,,PF (CY-B),,,Calculus (CY-B),,,,,,AP (CY-A),,,,,,,,,,Wednesday,,,C-404,
,Algo (DS-M),,,Data St (CS-G),,,Data St (CS-H),,,Automata (CS-D),,,,,,,,,,,,,Wednesday,,,C-405,
,Ethical Hacking,,,Data St (CS-F),,,LA (CS-J),,,Prob & Stats (AI-A),,,Prob & Stats (AI-C),,,Prob & Stats (AI-B),,,,,,,Wednesday,,,C-406,
,Algo (CY-T),,,DLD (AI-C),,,Data St (AI-C),,,Prog for AI (AI-C),,,,,,"DB (CS-D, 21)",,,,,,,Wednesday,,,C-407,
,DLD (AI-D),,,Prob & Stats (AI-D),,,Prog for AI (AI-D),,,Data St (AI-D),,,PPIT (DS-N),,,Deep Learn (DS-N),,,,,,,Wednesday,,,C-408,
,Data St (DS-C),,,Intro to DS (DS-C),,,Prob & Stats (DS-C),,,Fund of SE (CY-D),,,"Diff Eq (D, 22)",,,"Diff Eq (E, 22)",,,,,,,Wednesday,,,C-409,
,Intro to DS (DS-D),,,Prob & Stats (DS-D),,,Data St (DS-D) ,,,Fund of SE (DS-D),,,,,,,,,,,,,Wednesday,,,C-410,
,DLD (CY-A),,,Net & Cy Sec-I (CY-A),,,DLD (CY-D),,,DLD (CY-B),,,Islamic (A),,,,,,,,,,Wednesday,,,B-130,
,Net & Cy Sec-I (CY-B),,,Data St (CY-B),,,Fund of SE (CY-C),,,Data St (CY-A),,,DLD (CY-C),,,,,,,,,,Wednesday,,,B-227,
