Monday,"FSC
TimeTable for Fall-2023",Unnamed: 2,Unnamed: 3,BS CS (2023),Unnamed: 5,Unnamed: 6,BS DS (2023),Unnamed: 8,Unnamed: 9,BS AI (2023),Unnamed: 11,Unnamed: 12,BS CY (2023),Unnamed: 14,Unnamed: 15,BS SE (2023),Unnamed: 17,Unnamed: 18,"BS Electives (19 Batch, CS/AI/SE)",Unnamed: 20,Unnamed: 21,MS (CS),Tuesday,"BS Electives (19 Batch, CS/AI/DS/CY)",Wednesday,Thursday
,AP (DS-A),,,PF (DS-A),,,Func Eng (DS-A) 11:30-01:15,,,,Func Eng (DS-B) 02:00-03:45,,,,,"Algo (CS-B,21)",,,,,,,,Research Methodology (DS/AI),,C-301
,Calculus (CS-F),,,PF (CS-F),,,Calculus (AI-A),,,Ideology of Pak (AI-A) 01:15-03:00,,,,,,,,,,,,App Image Processing,,Adv Comp Net,,C-302
,AP (CS-G),,,Calculus (CS-G),,,PF (CS-G),,,Func Eng (CY-A) 01:00-02:45,,,,Func Eng (DS-C)  03:00-04:45,,,,,,,,,,Math Found of AI,,C-303
,SDA (CS-B),,,Comp Net (CS-B/Z),,,Comp Net (CS-F/H),,,Calculus (CS-E),,,Calculus (DS-A),,,,,,,,,ML for CySec,,Cloud Computing,,C-304
,Calculus (DS-B),,,PF (DS-B),,,AP (DS-B),,,S/w Req Engg (SE-E),,,"OOP (SE-A, 22)",,,"OOP (SE-B, 22)",,,,,,Responsible Design,,Emperical SE,,C-305
,PF (SE-A),,,AP (SE-A),,,Ideology of Pak (SE-A) 11:30-01:15,,,,Ideology of Pak (SE-B) 02:00-03:45,,,,,,,,,,,App Prog (CS/SE/CNS),,Ethical Hacking,,C-307
,AP (SE-B),,,PF (SE-B),,,Calculus (SE-B),,,AP (CS-F),,,Calculus (SE-A),,,,,,,,,,,,,C-308
,DAV (DS-M),,,DAV (DS-N),,,DataWare (DS-N) ,,,PDC (CY-M),,,Info Assurance (CY-M),,,,,,,,,,,,,C-309
,COAL (CS-G),,,Discrete (CS-G),,,Web Engg (SE-Q),,,TBW (SE-Q),,,Fund of SPM (SE-Q),,,S/w Re-Engg (SE-Q),,,,,,,,,,C-310
,Discrete (CS-K),,,Data St (CS-K),,,Data St (CS-J),,,LA (CS-G),,,Comp Net (DS-N),,,Info Sec (DS-N),,,,,,,,,,C-311
,Islamic (CS-A) 08:30-10:15,,,,,,Discrete (CS-C),,,Discrete (CS-F),,,German Lang (SE),,,German Lang (CS),,,,,,,,,,C-401
,Ideology of Pak (AI-B) 08:30-10:15,,,,,,LA (CS-E),,,COAL (CS-J),,,Psychology,,,OS (CY-T),,,,,,,,,,C-402
,Func Eng (CY-B) 08:30-10:15,,,,,,COAL (CS-K),,,Discrete (CS-H),,,Fund of Mgt,,,Fund of Mgt (SE-C),,,,,,,,,,C-403
,Discrete (CS-J),,,MLOPs,,,Net & Cy Sec-II (CY-T) 11:35-12:55,,,DLD (AI-A),,,Mktg Mgt (CS-A),,,Mktg Mgt (CS-B),,,,,,,,,,C-404
,PF (DS-C),,,Calculus (DS-C),,,LA (SE-D),,,AP (DS-C),,,Freelancing (CS-A),,,Freelancing (CS-B),,,,,,,,,,C-405
,PF (CS-E),,,AP (CS-E),,,DLD (DS-D),,,Fund of SE (DS-D),,,"Algo (CS-A, 21)",,,"Algo (CS-D, 21)",,,,,,,,,,C-406
,DLD (DS-A),,,Intro to DS (DS-A) ,,,Data St (DS-A),,,Prob & Stats (DS-A),,,Fund of Mgt (AI-A),,,Fund of Mgt (AI-B),,,,,,,,,,C-407
,Intro to DS (DS-B),,,DLD (DS-B),,,Prob & Stats (DS-B),,,Data St (DS-B),,,Mktg Mgt (AI-A),,,Mktg Mgt (AI-B),,,,,,,,,,C-408
,Cloud Comp,,,DataWare (DS-M),,,OS (DS-M),,,OS (DS-N),,,Islamic (B),,,Pak Studies (B),,,,,,,,,,C-409
,Fund of SE (DS-C),,,DLD (DS-C),,,Fund of SE (CY-B),,,Prob & Stats (CY-B),,,Mktg Mgt (SE-A),,,Mktg Mgt (SE-B),,,,,,,,,,C-410
,Data St (CS-B),,,Data St (CS-A),,,Data St (CY-C/D),,,,,,HCI (SE-E),,,,,,,,,,,,,B-130
,Net & Cy Sec-I (CY-C),,,Prob & Stats (CY-C),,,Prob & Stats (CY-A),,,Fund of SE (CY-A),,,,,,,,,,,,,,,,B-227
,Prob & Stats (CY-D),,,Net & Cy Sec-I (CY-D),,,Data St (SE-E),,,COAL (CS-E) ReSch,,,"Algo (CS-C,21)",,,,,,,,,,,,,B-229
,LA (SE-B),,,S/w Req Engg (SE-F),,,Data St (SE-F),,,HCI (SE-F),,,Info Sec (CS-F),,,PPIT (CS-F),,,,,,,,,,B-230
,COAL (CS-Z),,,HCI (SE-G),,,S/w Req Engg (SE-G),,,Data St (SE-G),,,"OOP (CS-C, 22)",,,"OOP (CS-D, 22)",,,,,,,,,,A-108
,Discrete (CS-Z),,,LA (SE-C),,,LA (SE-A),,,NLP,,,"OS (CS-C, 21)",,,"OS (CS-D,21)",,,,,,,,,,A-211
